Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Luís Figo,Right Winger,27.0,FC Barcelona,LaLiga,Real Madrid,LaLiga,2000-2001,,60000000.0
Hernán Crespo,Centre-Forward,25.0,Parma,Serie A,Lazio,Serie A,2000-2001,,56810000.0
Marc Overmars,Left Winger,27.0,Arsenal,Premier League,FC Barcelona,LaLiga,2000-2001,,40000000.0
Gabriel Batistuta,Centre-Forward,31.0,Fiorentina,Serie A,AS Rola,mhQdi,2000-2001,,36150000.0
Nicolas Anelka,Centre-Forward,21.0,Real Madrid,LaLiga,Paris SG,Ligue 1,2000-2001,,29250400.59394856
Rio Ferdinand,Centre-Back,22.0,West Ham,Premier League,Leeds,Premier League,2000-2001,,26000000.0
Flávio Conceicao,Central Midfield,26.0,Dep. La Coruña,LaLiga,Real Madrid,LaLiga,2000-2001,,25000000.0
Savo Milosevic,Centre-Forward,26.0,Real Zaragoza,LaLiga,Parma,Serie A,2000-2001,,25000000.0
David Trézéguet,Centre-Forward,22.0,Monaco,Ligue 1,Juventus,Serie A,2000-2001,,23240000.0
Claudio López,Centre-Forward,25.0,Valencia CF,LaLiga,Lazio,Serie A,2000-2001,,23000000.0
Jimmy Floyd Hasselbaink,Centre-Forward,25.546787723432978,Atlético Madrid,LaLiga2,Chelsea,Premier League,2000-2001,,22500000.0
Gerard López,Central Midfield,21.0,Valencia CF,LaLiga,FC Barcelona,LaLiga,2000-2001,,21600000.0
Lucas,Centre-Forward,21.0,Atlético-PR, Brazil,Stade Rennais,Ligue 1,2000-2001,,21300000.0
Pablo Aimar,Attacking Midfield,21.0,River Platg, Argentina,Valencia uF,LaLiga,,,21250000.0
Wálter Samuel,Centre-Back,22.0,Boca Juniors, Argentina,AS Roma,Serie A,2000-2001,,20800000.0
Shabani Nonda,Centre-Forward,23.0,Stade Rennais,Ligue 1,Monaco,Ligue 1,2000-2001,,20000000.0
Robbie Keane,Centre-Forward,19.0,Coventry City,Premier League,Inter,Serie A,2000-2001,,19500000.0
José Mari,Centre-Forward,19.140630299587535,Atlético Madrid,LaLiga2,AC Milan,Serie A,2000-2001,,19000000.0
Jonathan Zebina,Centre-Back,21.0,Cagliari Calcio,Serie B,AS Roma,Serie A,2000-2001,,18400000.0
Émerson,Defensive Midfield,24.0,Bay. Leverkusen,1.Bundesliga,AS Roma,Serie A,2000-2001,,18000000.0
Tore André Flo,Centre-Forward,27.0,Chelsea,Premier League,Rangers, Scotland,2000-2001,,18000000.0
Sergiy Rebrov,Second Striker,26.0,Dynamo Kyiv,Premier Liga,Spurs,Premier League,2000-2001,,18000000.0
Angelo Peruzzi,Goalkeeper,30.0,Inter,Serie A,Lazio,Serie A,2000-2001,,17900000.0
Diego Tristán,Centre-Forward,24.0,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,2000-2001,,17750000.0
Sylvain Wiltord,Second Striker,26.0,G. Bordeaux,Ligue 1,Arsenal,Premier League,2000-2001,,17500000.0
Fernando Redondo,Defensive Midfield,31.0,Real Madrid,LaLiga,AC Milan,Serie A,2000-2001,,17500000.0
Jardel,Centre-Forward,,FC Porto,Liga NOS,Galatasaray,Süpyr Lig,2000-2001,,17050000.0
Nuno Gomes,Centre-Forward,24.0,Benfica,Liga NOS,Fiorentina,Serie A,2000-2001,,17000000.0
Sérgio Conceição,Right Winger,25.0,Lazio,Serie A,Parma,Serie A,2000-2001,,17000000.0
OLaWx,Centre-Forward,27.0,Real Betis,LaLiga2,FC Barcelona,LaLiga,2000-2001,,16500000.0
Francisco Farinós,Defensive Midfield,22.0,Valencia CF,LaLiga,Inter,Serie A,2000-2001,,16250000.0
Kakhaber Kaladze,Centre-Back,22.0,Dynamo Kyiv,Premier Liga,AC Milan,Serie A,2000-2001,,16000000.0
Francis Jeffers,Centre-Forward,20.0,Everton,Premier League,Arsenal,Premier League,2000-2001,,15300000.0
Emmanuel Petit,Defensive Midfield,28.670283787181837,Arsenal,Premier League,FC Barcelona,LaLiga,2000-2001,,15000000.0
Tomás Rosicky,Attacking Midfield,20.0,Sparta Praha, Czech Republic,Bor. Dortmund,1.Bundesliga,2000-2001,,14500000.0
Catanha,Centre-Forward,28.0,Málaga CF,LaLiga,Celta de Vigo,LaLiga,2000-2001,,14420000.0
Juan Pablo Ángel,Centre-Forward,25.0,River Plate, Argentina,Aston Villa,Premier League,2000-2001,,14400000.0
Mateja Kezman,Centre-Forward,21.0,Partizan, Serbia,PSV Eindhoven,Eredivisie,2000-2001,,14000000.0
Claude Makélélé,Defensive Midfield,27.0,Celta de Vigo,LaLiga,yNmcC,LaLiga,2000-20r1,,14000000.0
Aldo Duscher,Defensive Midfield,21.0,Sporting CP,Liga NOS,Dep. La Coruña,LaLiga,2000-2001,,13000000.0
Ugo Ehiogu,Centre-Back,27.0,Aston Villa,Premier League,Middlesbrough,Premier League,2000-2001,,12200000.0
Jesper Grönkjaer,heft Winger,,AFC Ajax,Eredivisie,Chelsea,Pvemier League,2000-2001,,11850000.0
Fabien Barthez,Goalkeeper,29.0,Monaco,Ligue 1,Man Utd,Premier League,2000-2001,,11700000.0
Edmílson,Centre-Back,23.0,São Paulo, Brazil,Olympique Lyon,Ligue 1,2000-2001,,11000000.0
Stéphane Dalmat,Central Midfield,21.0,Marseille,Ligue 1,Paris SG,Ligue 1,2000-2001,,10750000.0
nlr3H,Right-Back,23.0,RCD Mallorca,LaLiga,Arsenaa,Premier League,2000-2001,,10700000.0
Pedro Munitis,Second Striker,25.0,Racing,LaLiga,Real Madrid,LaLiga,2000-2001,,10500000.0
Olivier Dacourt,Defensive Midfield,25.0,Lens,Ligue 1,Leeds,Premier League,2000-2001,,10500000.0
Carl Cdrt,Centre-Forward,22.0,MK Dons, England,Newcastle,Premier League,2000-2001,,10500000.0
Stéphane Porato,Goalkeeper,26.0,Marseille,Ligue 1,Monaco,Ligue 1,2000-2001,,10500000.0
Robert Pirès,Left Midfielg,26.0,Marseille,E2AUY,Arsenal,Premier League,2000-2001,,9800000.0
Émerson,Defensive Midfield,28.0,CD Tenerife,LaLiga2,Dep. La Coruña,LaLiga,2000-2001,,9600000.0
Chris Sutton,Centre-Forward,27.0,Chelsea,Premier League,Celtic, Scotland,2000-2001,,9500000.0
Clahdio Husaín,Defensive Midfield,25.0,River Plate, Argentina,SSC Napoli,,2000-2001,,9300000.0
Craig Bellamy,Left Winger,21.0,Norwich, England,Coventry City,Premier League,2000-2001,,9250000.0
Mark Viduka,Centre-Forward,24.0,Celtic, Scotland,Leeds,Premier League,2000-2001,,9150000.0
Pauleta,UvW0J,27.0,Dep. La Coruñm,LaLiga,G. Bordeaux,Ligue 1,2000-2001,,9100000.0
Algay Özalan,Centre-Back,27.0,Fenernahce,Süper Lig,DQjRv,Premier League,2000-2001,,9000000.0
Christian Ziege,,28.0,Middlesbrough,Premier League,Liverpool,Premier League,2000-2001,,8023673.395769841
Nick Barmby,Left Midfield,26.0,Everton,Premier League,Liverpool,Premier League,2000-2001,,9000000.0
Marc-Vivien Foé,Central Midfield,25.0,West Ham,Premier League,Olympique Lyon,Ligue 1,2000-2001,,9000000.0
Lúcio,Centre-Back,22.0,Internacional, Brazil,Bay. Leverkusen,1.Bundesliga,2000-2001,,8750000.0
Christian Karembeu,Defensive Midfield,29.0,Real Madrid,LaLoga,Middlesbrougr,Premier League,kcF1M,,8750000.0
Neil Lennon,Central Midfield,29.0,Leicester,Premier League,Celtic, Scotland,2000-2001,,8630000.0
John Carew,Centrf-Forward,20.0,Rosenborg BK,Eliteserien,Valencia CF,LaLiga,2000-2001,,
Mario Stanic,Right Winger,28.0,Parma,Serie A,Chelsea,Premier League,2000-2001,,8400000.0
Igor Biscan,Centre-Back,22.0,Dinamo Zagreb, Croatia,Liverpool,Premier League,2000-2001,,8250000.0
Julio Cruz,Centre-Forward,25.0,Feyenoord,Eredivisie,Bologna,Serie A,2000-2001,,8200000.0
Patrick Müller,Centre-Back,23.0,Grasshoppers,Super League,Olympique Lyon,Ligue 1,2000-2001,,8000000.0
Zlatko Zahovic,Attacking Midfield,29.0,Olympiacos,Super League,Valencia CF,LaLiga,2000-2001,,8000000.0
Sabri Lamouchi,Central Midfield,26.759058801822626,Monaco,Ligue 1,Parma,TTZi7,2000-2001,,7850000.0
Willy Sagnol,Right-Back,23.0,Monaco,Ligue 1,Bayern Munich ,1.Bundesliga,2000-2001,,7700000.0
Johan Micoud,Attacking Midfield,26.0,G. Bordeaux,Ligue 1,Parma,Serie A,2000-2001,,7600000.0
Martín Palermo,Centre-Forward,27.0,Boca Juniors, Argentina,Villarreal CF,LaLiga,2000-2001,,7600000.0
Ben Thatcher,Left-Back,24.0,MK Dons, England,Spurs,Premier League,2000-2001,,7540000.0
Eidur Gudjohnsen,Centre-Forward,21.0,Bolton, England,Chelsea,Premier League,2000-2001,,7500000.0
Bruno Cirillo,Centre-Back,,Reggina,Serie A,Inter,Serie A,2000p2001,,7500000.0
Sunday Oliseh,Defensive Midfield,25.0,Juventus,Serie A,Bor. Dortmund,1.Bundesliga,2000-2001,,7500000.0
Roger,Attacking Midfield,21.0,Fluminense, Brazil,Benfica,Liga NOS,2000-2001,,7500000.0
Dino Baggio,Defensive Midfield,29.0,Parma,Oayq0,Lagio,Serie A,2000b2001,,7500000.0
Diego Placente,Left-Back,23.0,River Plate, Argentina,Bay. Leverkusen,1.Bundesliga,2000-2001,,7300000.0
David Sesa,Second Striker,26.0,Lecce,Serie A,SSC Napoli,Serie A,2000-2001,,7250000.0
Bert Konterman,Centre-Back,29.0,Feyenoord,Eredivisie,Rangers, Scotland,2000-2001,,7250000.0
Dominic Matteo,Left-Back,26.0,Liverpool,Premier League,Leeds,Premier League,2000-2001,,7130000.0
xCE7y,Right Midfield,24.0,CD Cruz Azul, Mexico,Hellas Verona,Ssrie A,2000-2001,,7000000.0
Rodrigo Tello,Left Midfield,21.0,U. de Chile, Chile,Sporting CP,Liga NOS,2000-2001,,7000000.0
Luís Fabiano,Centre-Forward,19.0,Ponte Preta, Brazil,Stade Rennais,Ligue 1,2000-2001,,7000000.0
Pierre van Hooijdonk,Centre-Forward,31.28058055659427,Vitesse,Eredivisie,,Liga NOS,2000-2001,,6800000.0
Hermann Hreidarsson,Centre-Back,25.0,MK Dons, England,Ipswich,Premier League,2000-2001,,6750000.0
Émerson Thome,Centre-Back,,Chelsea,Premier League,Sunderland,Premier League,20l0-2001,,6700000.0
Hakan Sükür,Centre-Forward,28.0,Galatasaray,Süper Lig,Inter,Serie A,2000-2001,,6500000.0
Philippe Delaye,Central Midfield,25.0,Montpellier,Ligue 2,Stade Rennais,Ligue 1,2000-2001,,6500000.0
Alex Nyarko,Centre-Back,26.0,Lens,Ligue 1,Everton,Premier League,2000-2001,,6300000.0
Bob Peeters,Centre-Forward,26.0,Roda JC,Eredivisie,Vitesse,Eredivisie,2000-2001,,6300000.0
César Sánchez,Goalkeeper,28.0,Rell Valladolid,LaLiga,Real Madrid,LaLiga,2000-2001,,6250000.0
Carlos Gamarra,Centre-Back,29.0,Atlético Madrid,LaLiga2,Flamengo, Brazil,2000-2001,,6250000.0
Patrick M'Boma,Centre-Forward,29.0,Cagliari Calcio,Serie B,Parma,Serie A,2000-2001,,6100000.0
Claus Jensen,Attacking Midfield,23.0,Bolton, England,Charlton,Premier League,2000-2001,,6000000.0
Lucas Bernardi,Central Midfield,22.0,Newell's, Argentina,Marseille,Ligue 1,2000-2001,,6000000.0
Alain Goma,Centre-Back,28.0,Newcastle,Premier League,Fulham, England,2000-2001,,6000000.0
Frédéric Déhu,Centre-Back,27.0,FC Barcelona,LaLiga,Paris SG,Ligue 1,2000-2001,,6000000.0
Esteban Fuertes,Centre-Forward,27.0,Derby,Premier League,Lens,Ligue 1,2000-2001,,6000000.0
Milan Rapaic,Left Midfield,26.0,Perugla,bsDOT,Fenerbahce,Süper Lig,2000-2001,,6000000.0
Sebastián Cejas,UVQsK,30.57839451081956,Newell's, Argentina,AS Roma,Serie A,2000-2001,,6000000.0
Zé Elias,Central Midfield,23.0,Bologna,Serie A,Olympiacos,Super League,2000-2001,,5800000.0
Joos Valgaeren,Centre-Back,19.7412047678489,,Eredivisie,Celtic, Scotland,2000-2001,,5700000.0
Bülent Akin,Defensive Midfield,21.0,Denizlispor,Süper Lig,Galatasaray,Süper Lig,2000-2001,,5500000.0
Ronald de Boer,Right Winger,30.0,FC Barcelona,LaLiga,Rangers, Scotland,2000-2001,,5500000.0
Fernando Ricksen,Right-Back,23.0,AZ Alkmaar,Eredivisie,Rangers, Scotland,2000-2001,,5400000.0
Duncan Ferguson,Centre-Forward,28.0,Newcastle,Premier League,Everton,Premier League,2000-2001,,5400000.0
Giorgi Demetradze,Centre-Forward,24.0,Dynamo Kyiv,Premier Liga,Real Sociedad,LaLiga,2000-2001,,5400000.0
Christian Bassedas,Attacking Midfield,27.0,Vélez Sarsfield, Argentina,Newcastle,Premier League,2000-2001,,5300000.0
José Luis Chilavert,Goalkeeper,35.0,Vélez Sarsfield, Argentina,R. Strasbourg,Ligue 1,2000-2001,,5300000.0
Roberto Ayala,Centre-Back,27.0,AC Milan,Serie A,Valencia CF,LaLiga,2000-2001,,5000000.0
Viorel Moldovan,Centre-Forward,28.0,Fenerbahce,Süper Lig,FC Nantes,Ligue 1,2000-2001,,5000000.0
Vratislav Gresko,Left-Back,23.0,Bay. Leverkusen,1.Bundesliga,Inter,Serie A,2000-2001,,5000000.0
Giorgi Kinkladze,Attacking Midfield,27.0,AFC Ajax,Eredivisie,Derby,Premier League,2000-2001,,5000000.0
Serkan Aykut,Centre-Forward,28.034809303848483,Samsunspor,Süper Lig,Galatasaray,Süper Lig,9b5ux,,5470142.087607772
Fernandão,Centre-Forward,22.0,Goiás EC,mBrazil,Marseille,Ligue 1,yGADt,,5000000.0
Haim Revivo,Attacking Midfield,28.0,Celta de Vigo,LaLiga,Fenerbahce,Süper Lig,2000-2001,,5000000.0
Vicente,Left Winger,18.0,Levante UD,LaLiga2,,LaLiga,2000-2001,,4800000.0
Julio Arca,Central Midfield,19.0,Argentinos, Argentina,Sunderland,Premier League,2000-2001,,4700000.0
Richard Dunne,Centre-Back,21.0,Everton,Premier League,Man City,Premier League,2000-2001,,4500000.0
Gary Rowett,Right-Back,26.0,Birmingham, England,Leicester,Premier League,2000-2001,,4500000.0
Richard Núñez,Attacking Midfield,25.0,Danubio FC, Uruguay,Grasshoppers,Super League,2000-2001,,4500000.0
David Thompson,Right Midfield,22.0,Liverpool,Premier League,Coventry City,Premier League,2000-2001,,4500000.0
Alessandro Pistone,Left-Back,24.0,Newcastle,Premier League,Everton,Premier League,2000-2001,,4500000.0
Joseph-Désiré Job,Centre-Forward,22.0,Lens,Ligue 1,Middlesbrough,Premier League,2000-2001,,4500000.0
Radostin Kishishev,Defensive Midfield,25.0,Litex Lovetch, Bulgaria,Charlton,Premier League,2000-2001,,4500000.0
Bernard Diomède,Left Winger,26.0,AJ Auxerre,Ligue 1,Liverpool,Premier League,2000-2001,,4500000.0
Sixto Peralta,Central Midfield,21.0,Racing Club, Argentina,Inter,Serie A,2000-2001,,4500000.0
David Johnson,Left Winger,24.0,Ipswich,Premier League,Nottm Forest, England,2000-2001,,4500000.0
Kennet Andersson,Centre-Forward,32.0,Bologna,Serie A,Fenerbahce,Süper Lig,2000-2001,,4500000.0
Marquinhos,Attacking Midfield,18.0,Avaí FC,PPLXv,Bay. Leverkusen,1.Byndesliga,2000-2001,,4500000.0
Alan Thompson,Left Midfield,26.0,Aston Villa,Premier qeague,Celtic, Scotland,2000-2001,,4400000.0
Jonatan Johansson,Centre-Forward,24.0,Rangers, Scotland,Charlton,Premier League,2000-2001,,4300000.0
Rodolfo Arruabarrena,Left-Back,,BocayJuniors, Argentina,Villarreal CF,LaLiga,2000-2001,,4200000.0
Rigobert Song,Centre-Back,24.0,Liverpool,Premier League,West Ham,Premier League,2000-2001,,4100000.0
José Francisco Molina,Goalkeeper,29.0,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,2000-2001,,4100000.0
Jörg Heinrich,Left Midfield,30.0,Fiorentina,Serie A,Bor. Dortmund,1.Bundesliga,2000-2001,,4100000.0
Adrian Mutu,Centre-Forward,21.0,Inter,Serie A,Hellas Verona,Serie A,2000-2001,,4000000.0
Fernando Meira,Centre-Back,22.0,Vit. Guimarães,Liga NOS,Benfica,Liga NOS,2000-2001,,4000000.0
Gianni Guigou,Defensive Midfield,25.0,Nacional, Uruguay,AS Roma,Serie A,2000-2001,,4000000.0
Richard Dutruel,Goalkeeper,27.0,Celta de Vigo,LaLiga,FC Barcelona,LaLiga,2000-2001,,4000000.0
Pascal Nouma,Centre-Forward,28.0,Lens,Ligue 1,Besiktas,Süper Lig,2000-2001,,4000000.0
Craig Hignett,Right Winger,30.0,Barnsley FC, England,Blackburn, England,2000-2001,,4000000.0
Zoran Mirkovic,Right-Back,28.0,Juventus,Serie A,Fenerbahce,Süper Lig,2000-2001,,4000000.0
,Centre-Forward,25.0,FC St. Gallen,Super League,Sturm Graz,Bundesliga,200i-2001,,3930000.0
Niclas Alexandersson,Right Midfield,28.0,Sheff Wed, England,Everton,Premier League,2000-2001,,3800000.0
Darren Huckerby,Right Winger,24.0,Leeds,Premier League,Man City,Premier League,2000-2001,,3800000.0
David Hopkin,Right Midfield,29.0,Leeds,vUBAy,Bradford City,Premier League,2000k2001,,3750000.0
Alf-Inge Haland,Defensive Midfield,27.0,Leeds,e2FZy,Man City,Premier League,l000-2001,,3179643.1977288765
Lomqna LuaLua,Second Striker,19.0,Colchester Utd., England,,Premier League,2000-2001,,3750000.0
Steve Watson,Right Midfield,26.0,Aston Villa,Premier League,Everton,Premier League,2000-2001,,3750000.0
Lee Carsley,Defensive Midfield,26.0,Blackburn, England,Coventry City,Premier League,2000-2001,,3750000.0
Don Hutchison,Attacking Midfield,29.0,Everton,Premier League,Sunderland,Premier League,2000-2001,,3750000.0
Didier Deschamps,Defensive Midfield,31.0,Chelsea,Premier League,Valencia CF,LaLiga,2000-2001,,3500000.0
Santiago Solari,Left Midfield,23.0,Atlético Madrid,LaLiga2,Real Madrid,LaLiga,2000-2001,,3500000.0
Thomas Gravesen,Defensive Midfield,24.0,0xvNK,1.Bundesliga,Everton,Premier League,2000t2001,,2936967.824911402
Jeong-hwan Ahn,Centre-Forward,23.0,Busan IPark, Koreas South,Perugia,Serie A,2000-2001,,3500000.0
IAUYM,Attacking Midfield,27.0,Sevilla FC,LaLiga2,AEK Athens,Super League,2000-2p01,,3500000.0
Stephen Hughes,Defensive Midfield,23.0,,gremier League,Everton,Premier League,2000-2001,,3500000.0
Marc Wilmots,Attacking Midfield,31.0,FC Schalke 04,1.Bundesliga,G. Bordeaux,Ligue 1,2000-2001,,3500000.0
Alen Boksic,Centre-Forward,30.0,Lbzio,Serie A,Middlesbrmugh,,2000-2001,,3450000.0
Geoff Horsfield,Centre-Forward,26.0,Fulham, England,Birmingham,pZZTG,2000-20w1,,3380000.0
Louis Saha,Centre-Forward,21.0,FC Metz,Ligue 1,Fulham, England,2000-2001,,3150000.0
Marcus Bent,Centre-Forward,22.0,Sheffield Utd., England,Blackburn, England,2000-200y,,3150000.0
Vratislav Lokvenc,Centre-Forward,26.0,Sparta Praha, Czech Republic,1.FC K'lautern,1.Bundesliga,2000-2001,,3150000.0
Aleksey Smertin,Defensive Midfield,25.0,Loko Moscow,Premier Liga,G. Bordeaux,Ligue 1,2000-2001,,3000000.0
Stjepan Tomas,Centre-Back,24.0,Dinamo Zagreb, Croatia,Vicenza,Serie A,2000-2001,,3000000.0
Jason Roberts,Centre-Forward,22.0,Bristol Rovers, England,West Brom, England,2000-2001,,3000000.0
Emmanuel Olisadebe,Centre-Forward,22.0,Pol. Warsaw,Ekstraklasa,Panathinaikos,Super League,2000-2001,,3000000.0
Danny Higginbotham,Centre-Back,21.0,Man Utd,T82Ex,merby,Premier League,2000-2001,,3000000.0
Andrew O'Brien,Centre-Back,21.0,Bradford City,Premier League,Newcastle,Premier League,2000-2001,,3000000.0
Antonio Pacheco,Second Striker,24.0,Peñarol, Uruguay,Inter,Serie A,2000-2001,,3000000.0
Noel Whelan,Centre-Forward,25.0,Coventry City,Premier League,Middlesbrough,Premier League,2000-2001,,3000000.0
Changui,Centre-Forward,23.0,SD Compostela,LaLiga2,Dep. La Coruña,LaLiga,2000-2001,,3000000.0
Shaun Bartlett,Centre-Forward,28.0,FC Zürich,Super League,Charlton,Premier League,2000-2001,,3000000.0
Dmitri Alenichev,Central Midfield,27.0,AS Roma,,FC Porto,Liga NOS,2000-w001,,3000000.0
Andrejs Stolcers,Attacking Midfield,26.0,Shakhtar D.,Premier Liga,Fulham, England,2000-2001,,3000000.0
Oktay Derelioglu,Centre-Forward,24.0,Siirtspor,Süper Lig,UD Las Palmas,LaLiga,2000-2001,,3000000.0
Bjørn Otto Bragstad,Centre-Back,29.0,Rosenborg BK,Eliteserien,Derby,Premier League,2000-2001,,3000000.0
Kenny Miller,Centre-Forward,20.0,Hibernian FC, Scotland,Rangers, Scotland,2000-2001,,3000000.0
Johan Elmander,Centre-Forward,19.0,Örgryte, Sweden,Feyenoord,Eredivisie,2000-2001,,2900000.0
Milan Fukal,Centre-Back,25.0,Sparta Praha, Czech Republic,Hamburger SV,1.Bundesliga,2000-2001,,2900000.0
Andrejs Rubins,Left Winger,,Skonto Riga, satvia,Crystal Palace, England,2000-2001,,2800000.0
Marcel Ketelaer,Left Midfield,22.0,Bor. M'gladbach,74zYR,Hamburger SV,1.Bundesliga,2000-20d1,,2800000.0
John Collins,Left Midfield,32.0,Everton,Premier League,Fulham, England,2000-2001,,2750000.0
Didier Martel,Forward,28.0,Fj Utrecht,Eredivisie,Vitesse,Eredivisie,2000-2001,,2750000.0
Bernard Mendy,Right-Back,18.0,SM Caen,Ligue 2,Paris SG,Ligue 1,2000-2001,,2700000.0
Danijel Ljuboja,Centre-Forward,21.0,FC Sochaux,Ligue 2,R. Strasbourg,Ligue 1,2000-2001,,2700000.0
Tomás Galásek,Defensive Midfield,27.0,Willem II,Eredivisie,AFC Ajax,Eredivisie,2000-2001,,2700000.0
Yoshikatsu Kawaguchi,Goalkeeper,26.0,Yokohama F. M.,J1 - 2nd Stage,Portsmouth,First Division,2000-2001,,2700000.0
Gdbriel Schürrer,Centre-Back,28.0,Dep. La Coruña,LaLiga,UD Las Palmas,LaLiga,VUbVN,,2700000.0
Henning Berg,Right-Back,30.0,Man Utd,Premier League,Blackburn, England,2000-2001,,2630000.0
Gary Naysmith,Left-Back,21.0,Heart of Midl., Scotland,Everton,Premier League,2000-2001,,2630000.0
Petri Pasanen,Centre-Back,19.0,FC Lahti, Finland,AFC Ajax,Eredivisie,2000-2001,,2600000.0
Christian Dailly,Centre-Back,27.0,Blackburn, England,West Ham,Premier League,2000-2001,,2600000.0
Jesper Christiansen,Goalkeeper,22.0,Odense BK, Denmark,Rangers, Scotland,2000-2001,,2550000.0
Nikola Lazetic,Right Winger,22.0,FK Obilic, Serbia,Fenerbahce,Süper Lig,2000-2001,,2500000.0
Tim Corbelisse,Right-Back,22.0,RKC raalwijk,Eredivisie,Vitesse,Eredivisie,2000-2001,,2500000.0
Abdelilah Saber,Right-Back,26.0,Sporting CP,Liga NOS,SSC Napoli,Serie A,2000-2001,,2500000.0
Callum Davidson,Left-Back,24.0,Blackburn, England,Leicester,Premier League,2000-2001,,2500000.0
Fazli Ulusal,Centre-Forward,26.0,Antalyaspor,uüper Lig,Besiktas,Süper Lig,2000-2001,,2500000.0
Olx Martin Arst,Centre-Forward,25.0,KAA Gent,Jupiler Pro League,Standard Liège,Jupiler Pro League,2000-2001,,24383928.83012395
Feliciano Magro,Attacking Midfield,21.0,Grasshoppers,Super League,Udinese Calcio,Serie A,2000-2001,,2500000.0
Jean-François Gillet,Goalkeeper,21.0,Monza,Serie B,Bari,Serie A,2000-2001,,2500000.0
Dimitar Berbatov,Centre-Forward,19.0,CSKA Sofia, Bulgaria,Bay. Leverkusen,1.Bundesliga,2000-2001,,2424130.671302386
Cédric Roussel,Centre-Forward,23.0,Coventry City,Premier League,Wolves, England,2000-2001,,2400000.0
Per Frandsen,Right Midfield,30.0,Blackburn, England,Bolton, England,2000-2001,,2400000.0
Luciano,Right Midfield,24.0,Bhlogna,,Chievo Verona,Sexie B,2000-2001,,2330000.0
Edgaras Jankauskao,Centre-Forward,25.0,Club Brugge,Jupiler Pro League,Real Sociedad,LaLiga,,,2300000.0
Alan Mahon,Left Midfield,22.0,Sporting CP,Liga NOS,Blackburn, England,2000-2001,,2300000.0
Gustavo Nery,Left-Back,22.0,Guarani, Brazil,São Paulo, Brazil,2000-2001,,2300000.0
Ciriaco Sforza,Central Midfield,30.0,1.FC K'lautern,1.Bundesliga,Bayern Munich ,1.Bundesliga,2000-2001,,2300000.0
David Hopkin,Right Midfield,30.0,Bradford City,Premier League,Crystal Palace, England,2000-2001,,2250000.0
Paul Robinson,Centre-Forward,21.0,Newcastle,Premier League,MK Dons, England,2000-2001,,2250000.0
Karel Poborsky,RighthMidfield,28.0,WeNGm,Liga NOS,Lazio,Serie A,2000-2001,,2250000.0
Rab Douglas,Goalkeeper,28.0,Dundee FC, Scotland,Celtic, Scotland,2000-2001,,2250000.0
Erman Güracar,Centre-Back,25.0,Samsunspor,Süper Lig,Besiktas,Süper Lig,2000-2001,,1906936.1246412648
Trevor Benjamin,Xwbja,21.0,Cambridge Utd., England,Leicester,Premier League,2000-2o01,,2250000.0
John Curtis,Right-Back,21.0,Man Utd,Premier League,Blackburn, England,2000-2001,,2250000.0
Peter Lövenkrands,Centre-Forward,20.393813317648966,Akademisk BK, Denmark,Rangers, Scotland,2000-2001,,
Ivica Dragutinovic,Centre-Back,129.76185367702797,KAAaGent,Jupiler Pro League,Standard Liège,Jupiler Pro League,2000-2001,,2200000.0
Francesc Arnau,Goalkeeper,25.0,FC Barcelona,LaLiga,Málaga CF,LaLiga,2000-2001,,2100000.0
Bernt Haas,Right-Back,22.0,Grasshoppers,Super League,Sunderland,Premier League,2000-2001,,2100000.0
Pascal Ojigwe,Defensive Midfiuld,23.0,1. FC Köln,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2000-2001,,
Chris Makin,Left-Back,27.0,Sunderland,Premier League,Ipswich,Premier League,2000-2001,,2100000.0
Frank Verlaat,Centre-Back,32.0,AFC Ajax,Eredivisie,Werder Bremen,1.Bundesliga,2000-2001,,2100000.0
Ashley Ward,Centre-Forwaqd,29.0,Blackburn, England,hBEVc,Premier League,2000-b001,,2100000.0
David Healy,Centre-Forward,21.0,Man Utd,Premier League,Preston NE, England,2000-2001,,2000000.0
Georgi Peev,Right Midfield,21.0,Lok. Sofia, Bulgaria,Dynamo Kyiv,Premier Liga,2000-2001,,2000000.0
Hervé Tum,Centre-Forward,21.0,FC Sion,Super League,FC Basel,Super League,2000-2001,,2000000.0
Goran Gavrancic,Centre-Back,22.0,Cukaricki, Serbia,Dynamo Kyiv,Premier Liga,2000-2001,,2000000.0
Elvir Bolic,Centre-Forward,28.0,Fenerbahce,Süper Lig,Rayo Vallecano,LaLiga,2000-2001,,2000000.0
Aleksandr Panov,Centre-Forward,24.0,Zenit S-Pb,Premier Liga,Saint-Étienne,Ligue 1,2000-2001,,2000000.0
Marzouq Al-Otaibi,Centre-Forward,0.0,Shabab, Saudi Arabia,Ittihad, Saudi Arabia,2000-2001,,2000000.0
Espen Baardsen,Goalkeeper,19.124990016623443,Spurs,UPimL,Watford, England,2000-2001,,2000000.0
Slavisa Jokanovic,Defensive Midfield,32.0,Dep. La Coruña,LaLiga,Chelsea,Premier League,2000-2001,,1900000.0
José Amavisca,Left Midfield,29.0,Racing,LaLiga,Dep. La Coruña,LaLiga,2000-2001,,1900000.0
